timestamp,pleth
2020-01-01 12:00:04.696,1942
2020-01-01 12:00:04.704,1896
2020-01-01 12:00:04.712,1858
2020-01-01 12:00:04.720,1826
2020-01-01 12:00:04.728,1797
2020-01-01 12:00:04.736,1771
2020-01-01 12:00:04.744,1751
2020-01-01 12:00:04.752,1734
2020-01-01 12:00:04.760,1715
2020-01-01 12:00:04.768,1696
2020-01-01 12:00:04.776,1677
2020-01-01 12:00:04.784,1658
2020-01-01 12:00:04.792,1638
2020-01-01 12:00:04.800,1616
2020-01-01 12:00:04.808,1593
2020-01-01 12:00:04.816,1571
2020-01-01 12:00:04.824,1548
2020-01-01 12:00:04.832,1525
2020-01-01 12:00:04.840,1506
2020-01-01 12:00:04.848,1489
2020-01-01 12:00:04.856,1468
2020-01-01 12:00:04.864,1446
2020-01-01 12:00:04.872,1424
2020-01-01 12:00:04.880,1402
2020-01-01 12:00:04.888,1380
2020-01-01 12:00:04.896,1357
2020-01-01 12:00:04.904,1335
2020-01-01 12:00:04.912,1315
2020-01-01 12:00:04.920,1297
2020-01-01 12:00:04.928,1280
2020-01-01 12:00:04.936,1264
2020-01-01 12:00:04.944,1252
2020-01-01 12:00:04.952,1241
2020-01-01 12:00:04.960,1229
2020-01-01 12:00:04.968,1217
2020-01-01 12:00:04.976,1204
2020-01-01 12:00:04.984,1191
2020-01-01 12:00:04.992,1178
2020-01-01 12:00:05.000,1165
2020-01-01 12:00:05.008,1152
2020-01-01 12:00:05.016,1140
2020-01-01 12:00:05.024,1127
2020-01-01 12:00:05.032,1114
2020-01-01 12:00:05.040,1104
2020-01-01 12:00:05.048,1098
2020-01-01 12:00:05.056,1089
2020-01-01 12:00:05.064,1079
2020-01-01 12:00:05.072,1070
2020-01-01 12:00:05.080,1062
2020-01-01 12:00:05.088,1055
2020-01-01 12:00:05.096,1049
2020-01-01 12:00:05.104,1043
2020-01-01 12:00:05.112,1037
2020-01-01 12:00:05.120,1031
2020-01-01 12:00:05.128,1026
2020-01-01 12:00:05.136,1024
2020-01-01 12:00:05.144,1024
2020-01-01 12:00:05.152,1024
2020-01-01 12:00:05.160,1024
2020-01-01 12:00:05.168,1024
2020-01-01 12:00:05.176,1024
2020-01-01 12:00:05.184,1024
2020-01-01 12:00:05.192,1024
2020-01-01 12:00:05.200,1028
2020-01-01 12:00:05.208,1037
2020-01-01 12:00:05.216,1055
2020-01-01 12:00:05.224,1085
2020-01-01 12:00:05.232,1131
2020-01-01 12:00:05.240,1185
2020-01-01 12:00:05.248,1247
2020-01-01 12:00:05.256,1330
2020-01-01 12:00:05.264,1428
2020-01-01 12:00:05.272,1536
2020-01-01 12:00:05.280,1650
2020-01-01 12:00:05.288,1766
2020-01-01 12:00:05.296,1881
2020-01-01 12:00:05.304,1990
2020-01-01 12:00:05.312,2091
2020-01-01 12:00:05.320,2182
2020-01-01 12:00:05.328,2263
2020-01-01 12:00:05.336,2324
2020-01-01 12:00:05.344,2371
2020-01-01 12:00:05.352,2418
2020-01-01 12:00:05.360,2463
2020-01-01 12:00:05.368,2503
2020-01-01 12:00:05.376,2535
2020-01-01 12:00:05.384,2560
2020-01-01 12:00:05.392,2579
2020-01-01 12:00:05.400,2592
2020-01-01 12:00:05.408,2599
2020-01-01 12:00:05.416,2601
2020-01-01 12:00:05.424,2596
2020-01-01 12:00:05.432,2585
2020-01-01 12:00:05.440,2568
2020-01-01 12:00:05.448,2544
2020-01-01 12:00:05.456,2515
2020-01-01 12:00:05.464,2479
2020-01-01 12:00:05.472,2435
2020-01-01 12:00:05.480,2386
2020-01-01 12:00:05.488,2333
2020-01-01 12:00:05.496,2277
2020-01-01 12:00:05.504,2220
2020-01-01 12:00:05.512,2165
2020-01-01 12:00:05.520,2113
2020-01-01 12:00:05.528,2064
2020-01-01 12:00:05.536,2023
2020-01-01 12:00:05.544,1989
2020-01-01 12:00:05.552,1957
2020-01-01 12:00:05.560,1928
2020-01-01 12:00:05.568,1902
2020-01-01 12:00:05.576,1878
2020-01-01 12:00:05.584,1856
2020-01-01 12:00:05.592,1836
2020-01-01 12:00:05.600,1818
2020-01-01 12:00:05.608,1800
2020-01-01 12:00:05.616,1781
2020-01-01 12:00:05.624,1762
2020-01-01 12:00:05.632,1743
2020-01-01 12:00:05.640,1725
2020-01-01 12:00:05.648,1705
2020-01-01 12:00:05.656,1681
2020-01-01 12:00:05.664,1656
2020-01-01 12:00:05.672,1630
2020-01-01 12:00:05.680,1605
2020-01-01 12:00:05.688,1582
2020-01-01 12:00:05.696,1561
2020-01-01 12:00:05.704,1542
2020-01-01 12:00:05.712,1524
2020-01-01 12:00:05.720,1508
2020-01-01 12:00:05.728,1491
2020-01-01 12:00:05.736,1477
2020-01-01 12:00:05.744,1464
2020-01-01 12:00:05.752,1449
2020-01-01 12:00:05.760,1433
2020-01-01 12:00:05.768,1418
2020-01-01 12:00:05.776,1403
2020-01-01 12:00:05.784,1389
2020-01-01 12:00:05.792,1376
2020-01-01 12:00:05.800,1364
2020-01-01 12:00:05.808,1352
2020-01-01 12:00:05.816,1341
2020-01-01 12:00:05.824,1329
2020-01-01 12:00:05.832,1319
2020-01-01 12:00:05.840,1312
2020-01-01 12:00:05.848,1307
2020-01-01 12:00:05.856,1300
2020-01-01 12:00:05.864,1291
2020-01-01 12:00:05.872,1281
2020-01-01 12:00:05.880,1272
2020-01-01 12:00:05.888,1263
2020-01-01 12:00:05.896,1255
2020-01-01 12:00:05.904,1246
2020-01-01 12:00:05.912,1238
2020-01-01 12:00:05.920,1230
2020-01-01 12:00:05.928,1223
2020-01-01 12:00:05.936,1221
2020-01-01 12:00:05.944,1221
2020-01-01 12:00:05.952,1220
2020-01-01 12:00:05.960,1218
2020-01-01 12:00:05.968,1215
2020-01-01 12:00:05.976,1212
2020-01-01 12:00:05.984,1208
2020-01-01 12:00:05.992,1205
2020-01-01 12:00:06.000,1203
2020-01-01 12:00:06.008,1202
2020-01-01 12:00:06.016,1206
2020-01-01 12:00:06.024,1217
2020-01-01 12:00:06.032,1238
2020-01-01 12:00:06.040,1267
2020-01-01 12:00:06.048,1307
2020-01-01 12:00:06.056,1364
2020-01-01 12:00:06.064,1437
2020-01-01 12:00:06.072,1525
2020-01-01 12:00:06.080,1625
2020-01-01 12:00:06.088,1734
2020-01-01 12:00:06.096,1848
2020-01-01 12:00:06.104,1961
2020-01-01 12:00:06.112,2071
2020-01-01 12:00:06.120,2176
2020-01-01 12:00:06.128,2274
2020-01-01 12:00:06.136,2352
2020-01-01 12:00:06.144,2415
2020-01-01 12:00:06.152,2478
